athlete_name,gender,n_pre,n_post,mean_pre_seconds,mean_post_seconds,mean_age_pre,mean_age_post,delta_raw_seconds,delta_age_adjusted_seconds
Abel Kirui,M,6,2,7775.666666666667,7649.5,,,-126.16666666666697,
Arielle Rausin,W,3,3,7798.333333333333,7980.333333333333,,,182.0,
Atsede Baysa,W,6,2,8856.833333333334,8949.0,,,92.16666666666606,
Birhane Dibaba,W,5,2,8663.0,8547.5,,,-115.5,
Dickson Chumba,M,5,2,7674.2,7627.0,,,-47.19999999999982,
Edna Kiplagat,W,10,6,8703.7,8654.0,,,-49.70000000000073,
Eliud Kipchoge,M,4,7,7440.75,7502.285714285715,,,61.535714285714675,
Elkanah Kibet,M,2,3,8044.0,7822.333333333333,,,-221.66666666666697,
Fernando Cabada,M,2,2,8016.0,8179.5,,,163.5,
Florence Kiplagat,W,9,2,8590.555555555555,8639.0,,,48.44444444444525,
Geoffrey Kamworor,M,2,4,7723.5,7698.75,,,-24.75,
Helah Kiprop,W,3,2,8670.666666666666,8897.0,,,226.33333333333394,
Hiroko Yoshitomi,W,2,2,9123.0,9083.0,,,-40.0,
Kenenisa Bekele,M,3,4,7510.0,7678.25,,,168.25,
Mary Jepkosgei Keitany,W,9,2,8644.777777777777,8562.5,,,-82.27777777777737,
Sara Hall,W,3,5,9150.666666666666,8659.8,,,-490.8666666666668,
Shelly Woods,W,3,2,7863.666666666667,7633.0,,,-230.66666666666697,
Sisay Lemma,M,2,4,7730.5,7552.25,,,-178.25,
