athlete_name,gender,nationality,date,course,finish_time_seconds,year,age_at_race,known_shoe
Patrick Makau,M,Kenya,,berlin,7508,2010,,pre_vaporfly
Geoffrey Mutai,M,Kenya,,berlin,7510,2010,,pre_vaporfly
Bazu Worku,M,Ethiopia,,berlin,7525,2010,,pre_vaporfly
Yemane Tsegay,M,Ethiopia,,berlin,7672,2010,,pre_vaporfly
Eliud Kiptanui,M,Kenya,,berlin,7685,2010,,pre_vaporfly
Bernard Kipyego,M,Kenya,,berlin,7730,2010,,pre_vaporfly
Tadese Abraham,M,Ethiopia,,berlin,7764,2010,,pre_vaporfly
Gilbert Yegon,M,Kenya,,berlin,7834,2010,,pre_vaporfly
Masakazu Fujiwara,M,Japan,,berlin,7920,2010,,pre_vaporfly
Aberu Kebede,W,Ethiopia,,berlin,8638,2010,,pre_vaporfly
Bezunesh Bekele,W,Ethiopia,,berlin,8698,2010,,pre_vaporfly
Tomo Morimoto,W,Japan,,berlin,8770,2010,,pre_vaporfly
Sabrina Mockenhaupt,W,Germany,,berlin,8781,2010,,pre_vaporfly
Olena Burkovska,W,Ukraine,,berlin,8911,2010,,pre_vaporfly
Adriana Pertea,W,Romania,,berlin,9015,2010,,pre_vaporfly
Adriana Aparecida da Silva,W,Brazil,,berlin,9150,2010,,pre_vaporfly
Tanith Maxwell,W,South Africa,,berlin,9153,2010,,pre_vaporfly
Lisa Stublic,W,Croatia,,berlin,9222,2010,,pre_vaporfly
Agnieszka Gortel,W,Poland,,berlin,9287,2010,,pre_vaporfly
Eliud Kipchoge,M,Kenya,,berlin,7445,2013,,pre_vaporfly
Geoffrey Kipsang,M,Kenya,,berlin,7586,2013,,pre_vaporfly
Stephen Kwelio Chemlany,M,Kenya,,berlin,7664,2013,,pre_vaporfly
Maswai Kiptanui,M,Kenya,,berlin,7732,2013,,pre_vaporfly
Marílson Gomes dos Santos,M,Brazil,,berlin,7764,2013,,pre_vaporfly
Suehiro Ishikawa,M,Japan,,berlin,7824,2013,,pre_vaporfly
Koji Kobayashi,M,Japan,,berlin,7891,2013,,pre_vaporfly
Rui Silva,M,Portugal,,berlin,7936,2013,,pre_vaporfly
Sisay Jisa,M,Ethiopia,,berlin,7937,2013,,pre_vaporfly
Florence Kiplagat,W,Kenya,,berlin,8473,2013,,pre_vaporfly
Sharon Cherop,W,Kenya,,berlin,8548,2013,,pre_vaporfly
Irina Mikitenko,W,Germany,,berlin,8694,2013,,pre_vaporfly
Helah Kiprop,W,Kenya,,berlin,8882,2013,,pre_vaporfly
Desiree Davila,W,United States,,berlin,8955,2013,,pre_vaporfly
Vianey de la Rosa,W,Mexico,,berlin,9155,2013,,pre_vaporfly
Eri Hayakawa,W,Japan,,berlin,9155,2013,,pre_vaporfly
Nina Stöcker,W,Germany,,berlin,9466,2013,,pre_vaporfly
Lizzi Lee,W,Ireland,,berlin,9489,2013,,pre_vaporfly
Maria Yolanda Gutierrez,W,Spain,,berlin,9498,2013,,pre_vaporfly
Emmanuel Mutai,M,Kenya,,berlin,7393,2014,,pre_vaporfly
Abera Kuma,M,Ethiopia,,berlin,7556,2014,,pre_vaporfly
Geoffrey Kamworor,M,Kenya,,berlin,7599,2014,,pre_vaporfly
Eliud Kiptanui,M,Kenya,,berlin,7648,2014,,pre_vaporfly
Frankline Chepkwony,M,Kenya,,berlin,7655,2014,,pre_vaporfly
Levy Matebo,M,Kenya,,berlin,7713,2014,,pre_vaporfly
Maswai Kiptanui,M,Kenya,,berlin,7818,2014,,pre_vaporfly
Tsegaye Kebede,M,Ethiopia,,berlin,7827,2014,,pre_vaporfly
Kazuki Tamaru,M,Japan,,berlin,7885,2014,,pre_vaporfly
Fernando Cabada,M,United States,,berlin,7896,2014,,pre_vaporfly
Abdelhadi El Hachimi,M,Belgium,,berlin,7965,2014,,pre_vaporfly
Tirfi Tsegaye,W,Ethiopia,,berlin,8418,2014,,pre_vaporfly
Feyse Tadese,W,Ethiopia,,berlin,8427,2014,,pre_vaporfly
Shalane Flanagan,W,United States,,berlin,8474,2014,,pre_vaporfly
Tadelech Bekele,W,Ethiopia,,berlin,8582,2014,,pre_vaporfly
Abebech Afework,W,Ethiopia,,berlin,8702,2014,,pre_vaporfly
Kayoko Fukushi,W,Japan,,berlin,8785,2014,,pre_vaporfly
Anna Hahner,W,Germany,,berlin,8804,2014,,pre_vaporfly
Ines Melchor,W,Peru,,berlin,8808,2014,,pre_vaporfly
Rene Kalmer,W,South Africa,,berlin,8967,2014,,pre_vaporfly
Adriana da Silva,W,Brazil,,berlin,9485,2014,,pre_vaporfly
Karina Neipan,W,Argentina,,berlin,9681,2014,,pre_vaporfly
Michele Das Chagas,W,Brazil,,berlin,9739,2014,,pre_vaporfly
Margriet van den Broek,W,Netherlands,,berlin,7497,2014,,pre_vaporfly
Feyisa Lilesa,M,Ethiopia,,berlin,7617,2015,,pre_vaporfly
Emmanuel Mutai,M,Kenya,,berlin,7666,2015,,pre_vaporfly
Geoffrey Mutai,M,Kenya,,berlin,7769,2015,,pre_vaporfly
Yared Shegumo,M,Poland,,berlin,7847,2015,,pre_vaporfly
Koji Gokaya,M,Japan,,berlin,7858,2015,,pre_vaporfly
Scott Overall,M,United Kingdom,,berlin,7884,2015,,pre_vaporfly
Aberu Kebede,W,Ethiopia,,berlin,8448,2015,,pre_vaporfly
Meseret Hailu,W,Ethiopia,,berlin,8673,2015,,pre_vaporfly
Tadelech Bekele,W,Ethiopia,,berlin,8701,2015,,pre_vaporfly
Lisa Nemec,W,Croatia,,berlin,8877,2015,,pre_vaporfly
Tomomi Tanaka,W,Japan,,berlin,8880,2015,,pre_vaporfly
Fate Tola,W,Ethiopia,,berlin,8904,2015,,pre_vaporfly
Kenenisa Bekele,M,Ethiopia,,berlin,7383,2016,,pre_vaporfly
Wilson Kipsang,M,Kenya,,berlin,7393,2016,,pre_vaporfly
Evans Chebet,M,Kenya,,berlin,7531,2016,,pre_vaporfly
Sisay Lemma,M,Ethiopia,,berlin,7616,2016,,pre_vaporfly
Eliud Kiptanui,M,Kenya,,berlin,7667,2016,,pre_vaporfly
Geoffrey Ronoh,M,Kenya,,berlin,7769,2016,,pre_vaporfly
Alfers Lagat,M,Kenya,,berlin,7786,2016,,pre_vaporfly
Yohanes Gebregergish,M,Eritrea,,berlin,7788,2016,,pre_vaporfly
Jacob Kendagor,M,Kenya,,berlin,7801,2016,,pre_vaporfly
Suleiman Simotwo,M,Kenya,,berlin,7822,2016,,pre_vaporfly
Aberu Kebede,W,Ethiopia,,berlin,8445,2016,,pre_vaporfly
Birhane Dibaba,W,Ethiopia,,berlin,8638,2016,,pre_vaporfly
Ruti Aga,W,Ethiopia,,berlin,8681,2016,,pre_vaporfly
Reia Iwade,W,Japan,,berlin,8896,2016,,pre_vaporfly
Katharina Heinig,W,Germany,,berlin,8914,2016,,pre_vaporfly
Janet Ronoh,W,Kenya,,berlin,8975,2016,,pre_vaporfly
Dolinin Elena,W,Israel,,berlin,9359,2016,,pre_vaporfly
Cassie Fien,W,Australia,,berlin,9448,2016,,pre_vaporfly
Claire McCarthy,W,Ireland,,berlin,9480,2016,,pre_vaporfly
Gladys Ganiel,W,Ireland,,berlin,9550,2016,,pre_vaporfly
Eliud Kipchoge,M,Kenya,,berlin,7412,2017,,vaporfly_4
Guye Adola,M,Ethiopia,,berlin,7426,2017,,vaporfly_4
Mosinet Geremew,M,Ethiopia,,berlin,7569,2017,,vaporfly_4
Felix Kandie,M,Kenya,,berlin,7573,2017,,vaporfly_4
Vincent Kipruto,M,Kenya,,berlin,7574,2017,,vaporfly_4
Yuta Shitara,M,Japan,,berlin,7743,2017,,vaporfly_4
Hiroaki Sano,M,Japan,,berlin,7884,2017,,vaporfly_4
Ryan Vail,M,United States,,berlin,7960,2017,,vaporfly_4
Liam Adams,M,Australia,,berlin,7972,2017,,vaporfly_4
Jonathan Mellor,M,Great Britain,,berlin,7977,2017,,vaporfly_4
Gladys Cherono,W,Kenya,,berlin,8423,2017,,vaporfly_4
Ruti Aga,W,Ethiopia,,berlin,8441,2017,,vaporfly_4
Valary Aiyabei,W,Kenya,,berlin,8453,2017,,vaporfly_4
Helen Tola,W,Ethiopia,,berlin,8571,2017,,vaporfly_4
Anna Hahner,W,Germany,,berlin,8912,2017,,vaporfly_4
Catherine Bertone,W,Italy,,berlin,8914,2017,,vaporfly_4
Sonia Samuels,W,United Kingdom,,berlin,8974,2017,,vaporfly_4
