athlete_name,gender,nationality,date,event_m,finish_time_seconds,year,venue
Alice Aprot Nawowuna,W,Kenya,12 August 2016,10000,1794,2016,Rio de Janeiro
Almaz Ayana,W,Ethiopia,12 August 2016,10000,1757,2016,Rio de Janeiro
Beatrice Chebet,W,Kenya,25 May 2024,10000,1734,2024,Eugene
Berihu Aregawi,M,Ethiopia,14 June 2024,10000,1591,2024,Nerja
Biniam Mehary,M,Ethiopia,14 June 2024,10000,1598,2024,Nerja
Ejgayehu Taye,W,Ethiopia,14 June 2024,10000,1791,2024,Nerja
Fotyen Tesfay,W,Ethiopia,14 June 2024,10000,1788,2024,Nerja
Gebreselama #2,W,nan,14 June 2024,10000,1789,2024,Nerja
Grace Loibach Nawowuna,W,Kenya,3 June 2023,10000,1787,2023,Hengelo
Grant Fisher,M,United States,6 March 2022,10000,1594,2022,San Juan Capistrano
Gudaf Tsegay,W,Ethiopia,25 May 2024,10000,1746,2024,Eugene
Hassan #2,W,nan,10 October 2020,10000,1777,2020,Hengelo
Jacob Kiplimo,M,Uganda,19 May 2021,10000,1594,2021,Ostrava
Joshua Cheptegei,M,Joshua Cheptegei ( UGA ),7 October 2020,10000,1571,2020,"Valencia , Spain"
Kalkidan Gezahegne,W,Bahrain,8 May 2021,10000,1791,2021,Maia
Letesenbet Gidey,W,Ethiopia,8 June 2021,10000,1741,2021,Hengelo
Lilian Rengeruk,W,Kenya,25 May 2024,10000,1767,2024,Eugene
Margaret Kipkemboi,W,Kenya,25 May 2024,10000,1768,2024,Eugene
Mizan Alem,W,Ethiopia,20 May 2023,10000,1799,2023,London
Mohammed Ahmed,M,Canada,6 March 2022,10000,1594,2022,San Juan Capistrano
Selemon Barega,M,Ethiopia,14 June 2024,10000,1595,2024,Nerja
Sifan Hassan,W,Netherlands,6 June 2021,10000,1747,2021,Hengelo
Tirunesh Dibaba,W,Ethiopia,12 August 2016,10000,1783,2016,Rio de Janeiro
Tsegay #2,W,nan,23 June 2023,10000,1770,2023,Nerja
Tsigie Gebreselama,W,Ethiopia,16 March 2024,10000,1788,2024,San Juan Capistrano
Vivian Cheruiyot,W,Kenya,12 August 2016,10000,1773,2016,Rio de Janeiro
Yomif Kejelcha,M,Yomif Kejelcha ( ETH ),14 June 2024,10000,1591,2024,"Nerja , Spain"
